,Easting,Northing,Salazones amphora_ct,Salazones amphora_wt
0,531969.91,4385489.44,0.0,0.0
1,531962.4,4385500.28,0.0,0.0
2,531955.32,4385510.02,0.0,0.0
3,531947.55,4385520.42,0.0,0.0
4,531939.95,4385531.82,0.0,0.0
5,531933.05,4385540.67,0.0,0.0
6,531927.09,4385548.19,0.0,0.0
7,532000.52,4385498.22,0.0,0.0
8,531995.15,4385509.74,0.0,0.0
9,531991.07,4385518.82,0.0,0.0
10,531984.77,4385527.45,0.0,0.0
11,531978.99,4385534.76,0.0,0.0
12,531974.23,4385543.95,0.0,0.0
13,531965.53,4385552.79,0.0,0.0
14,531958.25,4385486.28,0.0,0.0
15,531949.79,4385496.68,0.0,0.0
16,531942.97,4385506.19,0.0,0.0
17,531936.24,4385515.38,0.0,0.0
18,531928.9,4385524.89,0.0,0.0
19,531922.52,4385533.41,0.0,0.0
20,532010.02,4385504.7,0.0,0.0
21,532003.37,4385513.77,0.0,0.0
22,531998.26,4385524.4,0.0,0.0
23,531990.84,4385533.47,0.0,0.0
24,531984.71,4385543.44,0.0,0.0
25,531977.46,4385552.51,0.0,0.0
26,532038.99,4385514.14,0.0,0.0
27,532031.64,4385525.65,0.0,0.0
28,532024.48,4385534.61,0.0,0.0
29,532018.44,4385544.24,0.0,0.0
30,532013.77,4385552.1,0.0,0.0
31,532018.59,4385506.95,0.0,0.0
32,532015.11,4385517.37,0.0,0.0
33,532012.35,4385522.24,0.0,0.0
34,532006.39,4385531.1,0.0,0.0
35,532001.29,4385540.06,0.0,0.0
36,531996.26,4385550.25,0.0,0.0
37,531992.03,4385557.89,0.0,0.0
38,531990.64,4385498.96,0.0,0.0
39,531986.39,4385509.37,0.0,0.0
40,531980.43,4385518.56,0.0,0.0
41,531973.95,4385529.63,0.0,0.0
42,531966.96,4385537.15,0.0,0.0
43,531961.01,4385545.56,0.0,0.0
44,531954.27,4385555.96,0.0,0.0
45,531980.89,4385491.92,0.0,0.0
46,531974.32,4385502.77,0.0,0.0
47,531967.92,4385513.4,0.0,0.0
48,531961.88,4385520.92,0.0,0.0
49,531956.35,4385529.56,0.0,0.0
50,531947.73,4385540.06,0.0,0.0
51,531940.04,4385551.35,0.0,0.0
52,531935.89,4385559.22,0.0,0.0
53,532029.91,4385510.22,0.0,0.0
54,532021.64,4385517.51,0.0,0.0
55,532017.99,4385526.37,0.0,0.0
56,532012.81,4385534.67,0.0,0.0
57,532010.71,4385544.99,0.0,0.0
58,532005.71,4385548.3,0.0,0.0
59,531998.21,4385557.48,0.0,0.0
60,532127.73,4385619.17,0.0,0.0
61,532126.57,4385609.17,0.0,0.0
62,532126.28,4385598.19,0.0,0.0
63,532127.26,4385587.76,0.0,0.0
64,532128.0,4385575.0,0.0,0.0
65,532130.81,4385560.47,0.0,0.0
66,532132.14,4385550.71,0.0,0.0
67,531888.67,4385622.5,0.0,0.0
68,531888.54,4385613.51,0.0,0.0
69,531893.21,4385604.88,0.0,0.0
70,531889.64,4385597.2,0.0,0.0
71,531891.74,4385586.45,0.0,0.0
72,531889.89,4385576.45,0.0,0.0
73,531892.23,4385571.02,0.0,0.0
74,531893.31,4385561.15,0.0,0.0
75,531889.57,4385550.48,0.0,0.0
76,532036.78,4385611.46,0.0,0.0
77,532036.05,4385601.69,0.0,0.0
78,532036.17,4385592.82,0.0,0.0
79,532037.33,4385583.39,0.0,0.0
80,532037.7,4385576.4,0.0,0.0
81,532038.35,4385563.75,0.0,0.0
82,532034.26,4385557.29,0.0,0.0
83,531911.42,4385623.37,0.0,0.0
84,531909.67,4385610.05,0.0,0.0
85,531910.23,4385598.62,0.0,0.0
86,531910.62,4385586.97,0.0,0.0
